platform,post_url,shortcode,post_id,timestamp,product_type,creator_username,creator_user_id,creator_is_verified,creator_followers,creator_posts_count,creator_profile_url,caption,hashtags,mentions,media_type,media_url,thumbnail,video_duration_seconds,like_count,comment_count,view_count,engagement_score_view,tagged_users,comments_sample_min_texts
instagram,https://www.instagram.com/p/DMYrYfuB6AJ/,DMYrYfuB6AJ,3681883494701047817,2025-08-25T13:24:21.749Z,clips,papa.de.cuatro,145531926,True,227027,1112,https://www.instagram.com/papa.de.cuatro,"Final inesperado, bueno más bien esperado 😅😂

#papa #mama #hijos #maternidad #paternidad #papasdecuatro",#papa;#mama;#hijos;#maternidad;#paternidad;#papasdecuatro,,video,https://instagram.fphl1-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQOWWgHefDLkVVzrmxUoJNgJOYDar5IrRvgh-yM0t0gaPwzTpZCUscJ2PYJoK9_mPDpBbsDcwdQwrFJu9VyWJ_Uf18sTAHnteNx41Rc.mp4?_nc_cat=105&_nc_oc=AdksaPIRtTQJWYbyxr6x3ehPfuGKqEbN-nllzbNdA5dse0nyYG3bq27q4v1QQgNvhDg&_nc_sid=5e9851&_nc_ht=instagram.fphl1-1.fna.fbcdn.net&_nc_ohc=9H5FkmZFQx4Q7kNvwH0BOE7&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTA4MDk0NTU5NjgxMTkwMiwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjIxLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=5f272d0223597491&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC9FNzQwQ0MyNUI5QjIxRTQ0NjRFODFFMTFDMjAyOUZBNF92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTXk5SEItbmZLT3JDNEVHQUpETElZeGpxalpDYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAm_KmOpajH6wMVAigCQzMsF0A190vGp--eGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_gid=_U6dj7pWcGOLzxiIPccUAg&_nc_zt=28&oh=00_AfVEiDX_t8_cUttrc9-Kt2GvaFkskBkIyXHpXlMQyhCOFw&oe=68AE43C6,https://instagram.fphl1-1.fna.fbcdn.net/v/t51.2885-15/523112385_18527963929059927_3437430024553234478_n.jpg?stp=c0.245.627.627a_dst-jpg_e15_tt6&_nc_ht=instagram.fphl1-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QG73f8mpQEmeB0Orl7mnUG8c467eyjFHyey3Jb5rAv7sSfrISoS4eRskHF2ST25ws8&_nc_ohc=7I4qIvpoS6cQ7kNvwGQFpTL&_nc_gid=_U6dj7pWcGOLzxiIPccUAg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfWgyNCvl7LeOq2E8vylqruQ1-8o2FlUKNd9Ys8zcz0v9A&oe=68B22D4D&_nc_sid=d885a2,21.966,141324,15,2288363,2288363,,El primero que huye es él y los deja solos en la lucha😂 no queremos ese dirigente sindical por favor JAJAJAJAJA | 🤣🤣🤣 Ese golpe de estado no estuvo bien coordinado hay que llamar a la abuela pa que dirija mejor 😂😂😂 | Jajajaja excelente actuacion de todos 👏❤️
instagram,https://www.instagram.com/p/DKDCQWCS883/,DKDCQWCS883,3639762843110985527,2025-08-25T13:24:21.846Z,clips,mami.a.bordo,28801606969,True,79506,563,https://www.instagram.com/mami.a.bordo,"No te pierdas las últimas tendencias de moda, siguiendo las tiendas: Comfortcana y Dazy en la app de @shein_mex @sheinofficial 🤩

Aquí te comparto mi código de descuento 👇🏼

🏷️”shopMaraAleman”

.

.

#SHEINtrends #SHEINforAll #savinstyle
#loveshein #PublicidadPagada",#SHEINtrends;#SHEINforAll;#savinstyle;#loveshein;#PublicidadPagada,shein_mex;sheinofficial,video,https://scontent-iad3-2.cdninstagram.com/o1/v/t2/f2/m86/AQMjKAuLcziLwbFWFropORq4soI4aVO8U7mhJ32bYGAPcLRv2pT2TRqemL0wBdUE9MixycsUmpEg8UUtzQZcvayN-d9hKJ80LHf1gug.mp4?_nc_cat=106&_nc_sid=5e9851&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_ohc=vfrURJg4QJcQ7kNvwGQB38b&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzIuNzIwLmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTEzMDA4MDE3ODg4NjgwMSwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjMxLCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&vs=8132c5b3ff1b7e57&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC82MTQwRDVBQ0Q3QzIyMDY3MzYzRDMyQzY2NEM4RDVBQV92aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HS1RIMHgycEZvTmcyNEFDQUpSOHNseXhLZ2hBYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmouKKuqnzgQQVAigCQzIsF0A_btkWhysCGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_gid=T8_KM4S4jM8oMo5aMfBgrg&_nc_zt=28&oh=00_AfXjXlSfd-4l9UUJcazpGHE9ZfgjKTv99U-e9y3RS1LHmg&oe=68AE3207,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/500411897_18068731198966970_1357873073790985569_n.jpg?stp=c0.459.1178.1178a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QGmhJUqNYKVSRcfRmgcKE-37GqyHul3AqAYnbHUEb4aC6MVxZFFTAETPxFGSJ4RlAU&_nc_ohc=dbvyEYjBNOgQ7kNvwEQizE5&_nc_gid=T8_KM4S4jM8oMo5aMfBgrg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfV9kLJkMAjCfUZm2pTpRillf3XJ85t1mB1hr-uibuHwNQ&oe=68B24E7D&_nc_sid=d885a2,31.433,,15,8,8,sheinofficial;shein_mex,Fi fiuuuu que bonita!! Me encantó el primer conjunto 😍 | Mi favorito fue el primerito | Qué bonita!
instagram,https://www.instagram.com/p/DKYSBWIM6fu/,DKYSBWIM6fu,3645743155673016302,2025-08-25T13:24:21.616Z,clips,giannacristante,22464659,False,53969,223,https://www.instagram.com/giannacristante,Este video hermoso lo grabé hace más de un mes cuando salíamos del hospital y regresábamos a casa siendo 3 gracias a Dios 🤍🐣✨,,,video,https://instagram.fphl1-1.fna.fbcdn.net/o1/v/t2/f2/m86/AQPRi6P6pw4EzENCXXc5Hy9Uom1--Gtt7QWKPZc0mgbn_47A91zI9LwXpzwNs4pJ4WzenOovxsc0_hAZwVdo72dkKoOW-4_CsoZDyEo.mp4?_nc_cat=102&_nc_oc=Adk-fuqOWKuESV5Qf22GvZbEVJARnmC4r_pLneaK4_VvbrwnEBYjI2vA0hCoZlJBs8c&_nc_sid=5e9851&_nc_ht=instagram.fphl1-1.fna.fbcdn.net&_nc_ohc=PvzcBCAH_MQQ7kNvwEhsNc8&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5JTlNUQUdSQU0uQ0xJUFMuQzMuNTc2LmRhc2hfYmFzZWxpbmVfMV92MSIsInhwdl9hc3NldF9pZCI6MTQxODU3OTAyNTgzNTg3NSwidmlfdXNlY2FzZV9pZCI6MTAwOTksImR1cmF0aW9uX3MiOjUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&vs=e582ee2c5cad89d7&_nc_vs=HBksFQIYUmlnX3hwdl9yZWVsc19wZXJtYW5lbnRfc3JfcHJvZC81RDRGODZGNkE0NTA5OEQxQjJCRjIzQjVCQ0ZDRUY4Q192aWRlb19kYXNoaW5pdC5tcDQVAALIARIAFQIYOnBhc3N0aHJvdWdoX2V2ZXJzdG9yZS9HTHRTOHgxMmVzaTJLeHNGQUhtSkZTVzJhQVEtYnFfRUFBQUYVAgLIARIAKAAYABsCiAd1c2Vfb2lsATEScHJvZ3Jlc3NpdmVfcmVjaXBlATEVAAAmxt3drpWMhQUVAigCQzMsF0AWAAAAAAAAGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHX-B2XmnQEA&_nc_gid=JXrJopCQ4JzLKnytaKApMw&_nc_zt=28&oh=00_AfVujKTD1SsmcaSuMhamYwYT9m8_PxqF2NG5aGVBWjmxgQ&oe=68AE343B,https://instagram.fphl1-1.fna.fbcdn.net/v/t51.2885-15/503024341_1412588350165918_9189611942157019670_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fphl1-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QHv7ai0FT1H7cXgunDhDsAqyYF-6Y3DoCgZkwefxMHtDdY-jSQH3sK2190WiBkxQAg&_nc_ohc=DG2byd724w8Q7kNvwGOdIdB&_nc_gid=JXrJopCQ4JzLKnytaKApMw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfXSWOYNUNYV5sGqVMBRPFuTKM2qDM3PUEdsLSja7e-HmQ&oe=68B22380&_nc_sid=d885a2,5.5,573195,15,510292,510292,sergioovega1,"Que miedo, ojalá en 10 años me pase 😭😭 | Mi mayor sueño😭❤️ | Aww, que lindos 😭🤍"
